̣
Ògúnòde
Ọ̀pálúwà
Ògúnlolú
Ọ̀ṣíyẹmí
Ọ̀shunníkẹ́
Ọ̀ṣúnwò
Ògúndiyan
Òkèlọlá
Ọ̀pádìran
Ọ̀páwádé
Ọ̀páwándé
Ògúnṣolú
Ògúnjẹ́
Ògúngbénlé
Ògúngbàmígbé
Ògúnmọ́dẹdé
Ògoolúwakìítán
Ògèdègbé
Ògúnrìndé
Ògúnshakin
Ògúndẹ̀hìn
Òkènlá
Ọ̀rọ́pọ̀
Òjoyè
Ògunjuyigbe
Ọ̀sundùnmínínú
Òkètúnjí
Ògúnfẹyìmi
Ósánlé
Òbílẹ́yẹ
Òsìòyẹmí
Òbóyè
Ọ̀jèdélé
Ògúnmẹ̀rù
Ọ̀jájá
Ọ̀dúndún
Ọ̀ṣúnkẹ́mi
Ògúnfowórìn
Ọ̀súngbémí
Ọ̀pádòkun
Ògúnfúnmitọ́
Ònítirí
Ọ̀pẹ́lẹ́ngẹ́
Ọ̀jẹ̀wálé
Ọ̀jẹ̀bísí
Òkègbénró
Ògúnbáyọ̀
Òkúdalàìyè
Ọ̀jẹ̀rìndé
Òkúndalàiyè
Òkúndalàyè
Òkúdalàyè
Òrógbangba
Òṣémàwé
Òjòpagogo
Ògúnwẹ̀mímọ́
Ọ̀túnla
Ọ̀rẹ́kùnrin
Ògúnlàjà
Ọ̀nàlà
Òkúngbayé
Ògúnsùlírẹ̀
Ògúntọ́lá
Ògúnlẹ́wẹ́
Ògúngbire
Ògúndẹ́kọ̀
Ògúnnáyàjó
Ògúnmóyèjọ
Ọ̀pámẹ́fà
Ògúndòsùnmú
Ògúndùmọ́lá
Ọ̀ṣúnfowórà
Ògúnṣuà
Ògúnṣuwà
Ògúngbádéró
Ọ̀rẹ́kàn
Ọ̀párìndé
Ọ̀pábọ́lá
Ọ̀pátọ́lá
Ọ̀pẹ́bí
Ọ̀pátóyè
Ọ̀rẹ́bíyì
Òṣàòní
Òshàtìmí
Ọ̀shúnjaiyé
Ọ̀shuntókí
Ọ̀ṣọ́
Ọ̀ṣọ́sanwó
Ọ̀ṣúndárà
Ọ̀ṣúngadé
Ọ̀tẹ̀bọ́lákú
Ọ̀tún
Ódùnmọ́lọ́run
Òyéfín
Òkújá
Ọ̀rẹ́jìmí
Ọ̀ṣunfúnkẹ́
Òkúrọ̀mádé
Ògúnyẹmí
Ògúnkóyọ̀dé
Ọ̀ṣunsànyà
Òkúṣàga
Ògúnwá
Ọ̀nàolúwa
Ọ̀támáyọ̀mí
Ọ̀jẹ́dèjì
Ọ̀ṣúntúbọ̀
Òsàbínú
Ọ̀gbẹ̀ìn
Ògúnwùmíjù
Ògúnkọ́rọ̀dé
Ọ̀jẹ̀níyì
Òkègbémiró
Ọ̀gúnyẹ
Ògúnlúsì
Ọ̀jẹ̀buyì
Ọ̀nàọpẹ́mipọ̀
Ọ̀tẹ̀gbẹ̀ye
Òrìṣáyọmí
Òrìshàyọmí
Òrìṣàbùnmi
Òrìshàbùnmi
Ọ̀jẹ́kúnlé
Ọ̀jéwánwá
Ọ̀jéwùnmí
Ọ̀pákúnlé
Ọ̀jẹ̀biyìí
Ọ̀kánjọ̀bí
Ògúnnọ́rìn
Ògúndàíní
Ògúnbánkẹ́
Òsàlóni
Òpómúléró
Ògúngbadé
Ògúnbuyìdé
Òkèṣọlá
Òbígbẹ̀san
Ọ̀jáfọlákẹ́
Ọ̀nàadé
Ọ̀ṣọ́kòmaiyà
Ògúnṣeéyìn
Òṣídẹ̀kọ̀
Òkèyínká
Ògúnjẹ́milúsì
Òkéwuyì
Òkètọ̀nàdé
Ògúnwáre
Òbídíyà
Òkunògbẹ
Ògúnfowórà
Ògúnjìmí
Òbísànyà
Òkètókun
Òbímákindé
Ọ̀shúnsan
Ọ̀táìbáyọ̀mí
Òkètọ́lá
Òṣúntúyì
Ọ̀nàọpẹ́pọ̀
Òkéyọdé
Ọ̀pánúbi
Ògomìdé
Ódùnmọ́lọ́runnínú
Òkèbíọ̀run
Ọ̀ṣúndoyin
Ògúnlèyímú
Ògúnrónbí
Ògúnwẹ̀hìnwò
Ọ̀̀jẹ̀rìnọ́lá
Ògúnṣemóyin
Ògídíolú
Ògúntúnmiṣe
Ògúnràyí
Ògúnsùsì
Ògúnyọ̀óyè
Ògúntúsà
Ògúngbùre
Ògúnríbidó
Ògúndabẹdé
Ọ̀jerinsola
Ọ̀pẹ̀sèyí
Ọ̀pẹ̀tọ́lá
Ògúndèyí
Ògúndáìsí
Ọ̀ṣúnyọyin
Ọ̀rúngbèjà
Ògúnfèítìmí
Ọ̀ṣúnṣàmì
Òbídòkun
Ògúnfèyítìmí
Ọ̀shọ́
Ọ̀nàjìn
Ọ̀pẹ́rìndé
Ògúnfọlájì
Ọ̀ṣúnfẹ́mi
Òkúnmúyìdé
Ògúnbọ́dẹdé
Ògúnbẹ̀ńwò
Ògúndẹkùn
ògúndìjọ
Ògúndọ́wọ́lé
Ògúnfẹ́mi
Ògúnfọlákànmí
Ògúngbè
Ògúntólú
Ògúnǹdójútìmí
Ọ̀pánúgà
Ọ̀sanyìnlókun
Òtítọ́lójù
Ọ̀jẹ́bíyì
Ọ̀nàọpẹ́mipọ̀fólúwa
Òkúnrìnbóyè
Òkèàgùnlà
Òrìṣàdára
Ọ̀rẹ́ìtàn
Ògúnráyéwá
Ògúnléndé
Ògúnmóyèró
Ọ̀ṣọ́bámirò
Òkédáìró
Ògúnbámbí
Ògúnbámbọ̀
Ògúnwọlá
Òkétáyọ̀
Ọ̀bíṣẹ̀san
Òde
Ògúntádé
Ògúnfowókẹ́
Ògúntáyọ̀
Ọ̀ṣọ́sàmì
Ọ̀nàmíyólúwa
Ògúndọlápọ̀
Òtúnígà
Òbíkúnlé
Ọ̀súnbíyí
Ọ̀gàńlá
Ọ̀gábìyí
Ògúnyọ̀ládé
Ọ̀ṣuntúnmiṣe
Ọ̀rẹ́yẹmí
Òrìshàgúnà
Ọ̀pádọ̀tun
Ọ̀nààrà
Òrìshàgúnnà
Òkégbénlé
Òkétúmbí
Òkunladé
Ọ̀rúnkọ̀yà
Òkèbùkọ́lá
Ògúnwálé
Ògúnríìíkẹ́
Ògúnyalé
Òkìkíọlákàn
Óràmípadà
Ògúntúndé
Òkìkíjésù
